City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Manokwari,-0.8667,134.0833,82.42,71,100,1.12,ID,1619831565
Vaini,-21.2,-175.2,78.8,89,75,12.66,TO,1619831277
Cidreira,-30.1811,-50.2056,68.79,71,0,16.96,BR,1619831474
Opuwo,-18.0607,13.84,68.9,37,57,5.12,NA,1619831565
Mar del Plata,-38.0023,-57.5575,63.0,77,0,10.36,AR,1619831306
George Town,5.4112,100.3354,78.8,94,20,4.61,MY,1619831043
Borodino,55.9106,94.8983,44.2,71,77,6.82,RU,1619831566
Khatanga,71.9667,102.5,33.42,88,100,10.27,RU,1619831278
Aldama,22.9167,-98.0667,84.99,85,60,11.01,MX,1619831567
Ushuaia,-54.8,-68.3,37.4,93,20,2.3,AR,1619831567
Hobart,-42.8794,147.3294,64.4,48,75,12.66,AU,1619831309
Avarua,-21.2078,-159.775,82.4,69,75,6.91,CK,1619831294
Airai,-8.9266,125.4092,70.63,52,67,4.09,TL,1619831567
Tiksi,71.6872,128.8694,30.52,89,22,4.5,RU,1619831568
Yangambi,0.8102,24.4336,69.28,99,100,1.99,CD,1619831568
Deputatsky,69.3,139.9,25.02,89,100,4.12,RU,1619831569
Yellowknife,62.456,-114.3525,33.01,100,90,5.75,CA,1619831569
Kidal,18.4411,1.4078,86.56,23,1,23.6,ML,1619831570
Upington,-28.4478,21.2561,53.6,71,0,5.75,ZA,1619831570
Avera,33.194,-82.5271,69.8,52,1,4.61,US,1619831351
New Norfolk,-42.7826,147.0587,64.4,48,75,12.66,AU,1619831571
Batticaloa,7.7102,81.6924,79.72,81,13,5.88,LK,1619831571
Asău,46.4333,26.4,53.01,58,98,4.72,RO,1619831571
Gunnedah,-30.9833,150.25,72.0,59,0,3.0,AU,1619831572
Taree,-31.9,152.4667,73.99,60,75,8.05,AU,1619831572
Rikitea,-23.1203,-134.9692,79.12,77,47,20.2,PF,1619831572
Cape Town,-33.9258,18.4232,57.99,82,0,9.22,ZA,1619831286
Atuona,-9.8,-139.0333,79.18,69,0,2.24,PF,1619831573
Enshi,30.3,109.4833,74.86,68,0,1.16,CN,1619831573
Ostrovnoy,68.0531,39.5131,16.3,81,100,5.84,RU,1619831371
Villa del Rosario,7.8339,-72.4742,75.2,100,75,4.61,CO,1619831574
Port Lincoln,-34.7333,135.8667,74.52,35,99,19.39,AU,1619831574
Mahébourg,-20.4081,57.7,77.0,78,40,11.5,MU,1619831574
Atar,20.5169,-13.0499,81.1,19,0,3.91,MR,1619831575
Bethel,41.3712,-73.414,51.8,43,1,9.22,US,1619831575
Punta Arenas,-53.15,-70.9167,42.8,93,90,4.61,CL,1619831300
Saskylakh,71.9167,114.0833,31.95,93,100,7.52,RU,1619831575
Mount Gambier,-37.8333,140.7667,60.8,51,100,12.66,AU,1619831576
Albany,42.6001,-73.9662,46.0,66,62,1.01,US,1619831576
Puerto Ayora,-0.7393,-90.3518,74.59,82,9,7.49,EC,1619831577
Camacha,33.0833,-16.3333,60.8,72,20,6.91,PT,1619831577
Viedma,-40.8135,-62.9967,68.99,46,100,17.36,AR,1619831577
Nanchong,30.7951,106.0847,79.45,54,0,3.02,CN,1619831578
Coahuayana Viejo,18.7333,-103.6833,84.2,48,40,11.5,MX,1619831578
Kushiro,42.975,144.3747,50.0,57,20,6.91,JP,1619831578
Hilo,19.7297,-155.09,84.2,54,75,10.36,US,1619831579
Thunder Bay,48.4001,-89.3168,53.6,34,40,8.05,CA,1619831491
Batemans Bay,-35.7167,150.1833,69.01,60,0,4.61,AU,1619831579
Chokurdakh,70.6333,147.9167,20.28,82,8,5.93,RU,1619831580
Hamilton,39.1834,-84.5333,53.6,37,1,12.66,US,1619831380
Te Anau,-45.4167,167.7167,50.94,67,26,1.07,NZ,1619831581
Flinders,-34.5833,150.8552,73.0,72,3,1.99,AU,1619831581
Ballina,-28.8667,153.5667,71.6,68,40,12.66,AU,1619831582
Busselton,-33.65,115.3333,57.99,91,100,3.0,AU,1619831288
Port Alfred,-33.5906,26.891,58.77,83,3,13.27,ZA,1619831582
Muros,42.7762,-9.0603,44.01,91,11,8.75,ES,1619831583
Yangliuqing,39.1375,116.9997,57.2,47,0,15.66,CN,1619831583
Port Elizabeth,-33.918,25.5701,57.2,67,0,8.05,ZA,1619831583
Nantucket,41.2835,-70.0995,57.2,41,1,27.63,US,1619831554
Dikson,73.5069,80.5464,18.09,95,100,7.92,RU,1619831584
Bouca,6.5105,18.2733,72.21,91,100,4.34,CF,1619831585
Harrismith,-28.2728,29.1295,45.5,92,98,7.81,ZA,1619831585
Barrow,71.2906,-156.7887,21.2,79,90,4.61,US,1619831361
Van,38.4924,43.3831,44.6,100,40,3.44,TR,1619831586
Cayenne,4.9333,-52.3333,78.01,100,20,1.14,GF,1619831526
Mago,53.2514,140.1822,39.27,72,100,3.96,RU,1619831586
La Pila,22.05,-100.8667,69.8,56,40,10.36,MX,1619831586
